case_id,prompt,candidate_rank,candidate_id,material_family,family_short,composition_concept,formula_pretty,chemsys,recipe_mode,matched_alloy_name,matched_alloy_id,analogue_confidence,analogue_family_candidate_count,analogue_weighted_score,analogue_similarity_score,analogue_route_compatibility_score,analogue_base_component,analogue_major_component,analogue_secondary_component,analogue_chemistry_penalty,recipe_support_score,evidence_maturity_score,manufacturability_score,route_suitability_score,final_rank_score,recipe_diagnosis,best_analogue_name,best_analogue_id,best_analogue_weighted_score,best_analogue_similarity_score,best_analogue_route_score,best_analogue_base_component,best_analogue_major_component,best_analogue_secondary_component,best_analogue_chemistry_penalty
hot_section_creep_am,Design a material for a hot aviation component operating at 850°C where creep is critical and additive manufacturing is preferred.,1,mp-10885,Ni-based superalloy-like candidate,Ni-based,AlCrNi2,AlCrNi2,Al-Cr-Ni,family_envelope,,,Medium-Low,9,0.6087,0.59,1.0,45.0,14.0,0.0,0.0,56.26,41.07,56.77,61.35,81.31,"Closest analogue score 0.61 is below the analogue-guided threshold 0.72. For Ni candidates specifically, repeated fallback usually means the Materials Project chemsys survivors are simplified or theoretical compared with named Ni alloy seed rows.",HAYNES 282 alloy,ni_h282,0.6087,0.59,1.0,0.45,0.14,0.0,0.0
hot_section_creep_am,Design a material for a hot aviation component operating at 850°C where creep is critical and additive manufacturing is preferred.,2,mp-1228913,Ni-based superalloy-like candidate,Ni-based,Al2CoNi,Al2CoNi,Al-Co-Ni,family_envelope,,,Low,9,0.5687,0.59,1.0,45.0,14.0,0.0,0.0,50.32,56.0,54.0,60.8,80.0,"Closest analogue score 0.57 is below the analogue-guided threshold 0.72. For Ni candidates specifically, repeated fallback usually means the Materials Project chemsys survivors are simplified or theoretical compared with named Ni alloy seed rows.",HAYNES 282 alloy,ni_h282,0.5687,0.59,1.0,0.45,0.14,0.0,0.0
hot_section_creep_am,Design a material for a hot aviation component operating at 850°C where creep is critical and additive manufacturing is preferred.,3,mp-1228914,Ni-based superalloy-like candidate,Ni-based,Al4CrNi15,Al4CrNi15,Al-Cr-Ni,family_envelope,,,Low,9,0.5737,0.59,1.0,45.0,14.0,0.0,0.0,45.95,37.82,49.95,51.99,75.94,"Closest analogue score 0.57 is below the analogue-guided threshold 0.72. For Ni candidates specifically, repeated fallback usually means the Materials Project chemsys survivors are simplified or theoretical compared with named Ni alloy seed rows.",HAYNES 282 alloy,ni_h282,0.5737,0.59,1.0,0.45,0.14,0.0,0.0
hot_section_creep_am,Design a material for a hot aviation component operating at 850°C where creep is critical and additive manufacturing is preferred.,4,mp-1229050,Ni-based superalloy-like candidate,Ni-based,Al18Co5Ni3,Al18Co5Ni3,Al-Co-Ni,family_envelope,,,Low,9,0.5737,0.59,1.0,45.0,14.0,0.0,0.0,44.59,36.98,49.74,51.95,72.75,"Closest analogue score 0.57 is below the analogue-guided threshold 0.72. For Ni candidates specifically, repeated fallback usually means the Materials Project chemsys survivors are simplified or theoretical compared with named Ni alloy seed rows.",HAYNES 282 alloy,ni_h282,0.5737,0.59,1.0,0.45,0.14,0.0,0.0
hot_section_creep_am,Design a material for a hot aviation component operating at 850°C where creep is critical and additive manufacturing is preferred.,5,mp-1228742,Ni-based superalloy-like candidate,Ni-based,Al9Co2Ni,Al9Co2Ni,Al-Co-Ni,family_envelope,,,Low,9,0.5737,0.59,1.0,45.0,14.0,0.0,0.0,44.42,36.04,49.51,51.9,72.19,"Closest analogue score 0.57 is below the analogue-guided threshold 0.72. For Ni candidates specifically, repeated fallback usually means the Materials Project chemsys survivors are simplified or theoretical compared with named Ni alloy seed rows.",HAYNES 282 alloy,ni_h282,0.5737,0.59,1.0,0.45,0.14,0.0,0.0
hot_section_creep_am,Design a material for a hot aviation component operating at 850°C where creep is critical and additive manufacturing is preferred.,6,mp-1228972,Ni-based superalloy-like candidate,Ni-based,AlCoNi6,AlCoNi6,Al-Co-Ni,family_envelope,,,Low,9,0.5737,0.59,1.0,45.0,14.0,0.0,0.0,44.43,36.07,49.52,51.9,71.91,"Closest analogue score 0.57 is below the analogue-guided threshold 0.72. For Ni candidates specifically, repeated fallback usually means the Materials Project chemsys survivors are simplified or theoretical compared with named Ni alloy seed rows.",HAYNES 282 alloy,ni_h282,0.5737,0.59,1.0,0.45,0.14,0.0,0.0
hot_section_creep_am,Design a material for a hot aviation component operating at 850°C where creep is critical and additive manufacturing is preferred.,7,mp-1214822,Ni-based superalloy-like candidate,Ni-based,AlCo2Ni,AlCo2Ni,Al-Co-Ni,family_envelope,,,Low,9,0.5287,0.59,1.0,45.0,14.0,0.0,0.0,39.54,27.97,39.49,49.9,63.05,"Closest analogue score 0.53 is below the analogue-guided threshold 0.72. For Ni candidates specifically, repeated fallback usually means the Materials Project chemsys survivors are simplified or theoretical compared with named Ni alloy seed rows.",HAYNES 282 alloy,ni_h282,0.5287,0.59,1.0,0.45,0.14,0.0,0.0
hot_section_creep_am,Design a material for a hot aviation component operating at 850°C where creep is critical and additive manufacturing is preferred.,8,mp-1214804,Ni-based superalloy-like candidate,Ni-based,AlCo2Ni,AlCo2Ni,Al-Co-Ni,family_envelope,,,Low,9,0.5287,0.59,1.0,45.0,14.0,0.0,0.0,39.22,26.23,39.06,49.81,62.12,"Closest analogue score 0.53 is below the analogue-guided threshold 0.72. For Ni candidates specifically, repeated fallback usually means the Materials Project chemsys survivors are simplified or theoretical compared with named Ni alloy seed rows.",HAYNES 282 alloy,ni_h282,0.5287,0.59,1.0,0.45,0.14,0.0,0.0
hot_section_creep_am,Design a material for a hot aviation component operating at 850°C where creep is critical and additive manufacturing is preferred.,9,mp-1228985,Ni-based superalloy-like candidate,Ni-based,AlCrNi,AlCrNi,Al-Cr-Ni,family_envelope,,,Low,9,0.5287,0.59,1.0,45.0,14.0,0.0,0.0,37.18,18.0,31.79,44.36,58.14,"Closest analogue score 0.53 is below the analogue-guided threshold 0.72. For Ni candidates specifically, repeated fallback usually means the Materials Project chemsys survivors are simplified or theoretical compared with named Ni alloy seed rows.",HAYNES 282 alloy,ni_h282,0.5287,0.59,1.0,0.45,0.14,0.0,0.0
lightweight_fatigue_bracket,Design a lightweight structural aviation bracket with high strength-to-weight and good fatigue resistance. Conventional processing is acceptable.,1,mp-10885,Ni-based superalloy-like candidate,Ni-based,AlCrNi2,AlCrNi2,Al-Cr-Ni,family_envelope,,,Medium-Low,9,0.6087,0.59,1.0,45.0,14.0,0.0,0.0,53.83,41.07,56.77,64.02,72.29,"Closest analogue score 0.61 is below the analogue-guided threshold 0.72. For Ni candidates specifically, repeated fallback usually means the Materials Project chemsys survivors are simplified or theoretical compared with named Ni alloy seed rows.",HAYNES 263 alloy,ni_h263,0.6087,0.59,1.0,0.45,0.14,0.0,0.0
